IsPromotionApplied,ProductionCost,MarketingSpend,SeasonalDemandIndex,CompetitorPrice,CustomerRating,EconomicIndex,StoreCount,SalesRevenue,ProductCategory_Electronics,ProductCategory_Furniture,ProductCategory_Toys,Region_North,Region_South,Region_West,CustomerSegment_Low Income,CustomerSegment_Middle Income
1,0.3696979071655454,-0.23580192879877163,0.022635892176784488,-0.9702580528045185,0.8817597752080343,2.414632897403252,0.11493672024715373,0.6378265069453088,0,1,0,0,0,0,0,0
0,-1.4923776965862952,1.085553759834183,0.022635892176784488,2.0598815229031073,0.8817597752080343,0.22306981386059244,-0.4726213143947391,-1.2498884510073829,0,0,1,0,0,1,0,0
0,1.1995359479679961,1.5260056560451678,0.022635892176784488,0.7840332804998965,0.8817597752080343,-1.1857921684168315,-0.16156117840785467,0.2909263615328693,1,0,0,0,1,0,0,0
1,-1.6239373859818056,-0.9565413953258377,0.022635892176784488,-1.1052035399817812,0.8817597752080343,1.4753915758849694,-1.1638660610322602,-1.1573817455640658,0,1,0,0,0,1,0,1
1,-0.22738068316792523,-0.9165003138521118,1.7638583673140509,-0.3077983884797743,0.8817597752080343,0.588330327784369,0.4259968562340382,1.0714516887108583,0,1,0,0,0,1,0,1
1,-0.26786058759731307,0.20464996741221322,-1.718586582960482,0.9067109961155899,-2.600016237459426,0.3796100341136395,-0.16156117840785467,-1.6314786109610664,0,0,1,0,0,0,0,1
0,1.6346949205839154,1.7061905226769343,1.7638583673140509,-0.2341917591103583,-0.8591282311256959,1.6319317961380164,-0.9564926370410038,-0.11668130932674711,1,0,0,0,0,1,0,0
1,-0.26786058759731307,0.04448564151730964,0.022635892176784488,1.164334198908546,-0.8591282311256959,-1.1857921684168315,0.978992653544055,0.5857914851334429,1,0,0,0,0,0,0,1
1,-0.26786058759731307,-1.2968905878525079,0.022635892176784488,-0.369137246287621,0.8817597752080343,-0.7683515810753726,-0.05787446641222651,0.1319304615521679,0,1,0,1,0,0,1,0
0,-1.3810579594054786,-0.6362127435360305,0.022635892176784488,-0.07471072880995695,-0.8591282311256959,0.588330327784369,0.9098681788803029,0.3660880597055646,0,0,0,1,0,0,1,0
